PI,Test #,Date,GMT,Sample #,Fuel Sample Material,Flow restrictor,Fan display,Air display,Radiometer gain   (1000   250   50   10),Total Frames Shot,Calibrated  initial O2 % by vol ,Calibrated final O2 % by vol,Initial CO2 % by vol,Final CO2 % by vol,Initial CO (ppm),Final CO (ppm)
Bhattacharjee,B1,2/19/2014,50,147,100 micron PMMA film   2 cm wide,2,62,5,50,57,22.2,22.2,0.44,0.44,0,6
Bhattacharjee,B2,2/19/2014,50,155,200 micron PMMA film   2 cm wide,2,62,5,50,none,22.2,1.6,0.44,,6,
Bhattacharjee,B3,2/19/2014,50,148,100 micron film   2 cm wide,2,47,2,50,253,22.2,21.8,0.43,0.49,12,19
Bhattacharjee,B4,2/19/2014,50,159,300 micron PMMA film   2 cm wide ,2,61,5,50,137,22.2,22.2,0.44,0.51,-1,10
Bhattacharjee,B5,2/19/2014,50,156,200 micron  2 cm wide ,2,59,5,50,206,22.2,21.9,0.43,0.43,0,12
Bhattacharjee,B6,7/7/2014,188,153m,2 cm 0.1 mm PMMA film,2,0.9   1.3   2.75,3   5   approaching 10,10,80,21,20.9,0.33,0.41,0,0.3
Bhattacharjee,B7,2/19/2014,50,161,400 micron film   2 cm wide,2,47,2,50,84,22.2,22.1,0.45,0.51,1,17
Bhattacharjee,B8,7/7/2014,188,157m,2 cm   0.2 mm PMMA film,0,1.4    incr to 10.0,10   max,10,226,21,20.5,0.33,0.58,0,131
Bhattacharjee,B9,7/7/2014,188,154m,2 cm   0.1 mm PMMA film,2,0.6   0.35,2   <1,10,45,21,20.9,0.33,0.35,0,10
Bhattacharjee,B10,7/7/2014,188,173m,1 cm   0.2 mm PMMA film,2,1.7 (52)   1.25   0.9   0.6   0.4   0.35,5  4  3  2  1,10,123,21,20.8,0.33,0.44,0,23
Bhattacharjee,B11,7/7/2014,188,158m,2 cm   0.2 mm PMMA film,2,2.5 (59)   1.3   0.7   0.5   0.35,5   3   1   <1,10,131,21,20.7,0.33,0.47,0,46
Bhattacharjee,B12,2/19/2014,50,160,300 micron film   2 cm wide,2,46.5,2,50,160,22.2,22.1,0.51,0.56,17,33
Bhattacharjee,B13,7/7/2014,188,162m,2 cm   0.4 mm thick film,2,3.5 (68)    1.7   1.25   0.9   0.6   0.4   0.35,10   5  4  3  2  1,10,311,21,20.5,0.33,0.65,0,61
Bhattacharjee,B14,7/2/2014,183,174m,1 cm wide 200 micron thick PMMA,2,pot 0.9   0.5 and down,5  3  2   ext,250,44,15,none,0,none,0.2,none
Bhattacharjee,B15,7/7/2014,188,149m,2 cm   0.1 mm PMMA film,0,1.4 (50) incr to 10.0 pot,10   max,10,122,21,20.8,0.33,0.43,0,22
Bhattacharjee,B16,7/2/2014,183,150m,2 cm 100 micron thick PMMA,2,44 (pot 0.68),3  0.5 pot   0.4 pot,250,94,17.3,17.2,0.47,0.51,103,119
Bhattacharjee,B17,7/2/2014,183,175m,1 cm wide 200 micron thick PMMA,2,pot 1.2 (48)    0.9   0.4 ,5   3    pot 0.4,250,190,17.5,17.4,0.2,0.34,0,47
Bhattacharjee,B18,7/2/2014,183,176m,1 cm wide 200 micron thick PMMA,0,pot 1.02 (47)   incr to 7.0,10   blowoff,250,152,17.4,17.4,0.34,0.42,47,78
Bhattacharjee,B19,7/2/2014,183,151m,2 cm 100 micron thick PMMA,0,47 (pot 1.05)   incr to pot 6.0,10   blowoff,250,95,17.3,17.2,0.51,0.57,119,131
Bhattacharjee,B20,7/2/2014,183,152m,2 cm 100 micron thick PMMA,2,48   pot 0.9   0.5,5   3      pot 0.5,250,111,17.4,17.4,0.42,0.47,78,103
Bhattacharjee,B21,8/4/2014,216,174m,1 cm wide 200 micron thick PMMA,1,53   and down,5 down to ext,250,88,20.8,20.6,0.36,0.44,-1,18
Bhattacharjee,B22,8/4/2014,216,176m,1 cm wide 200 micron thick PMMA,1,53   42   41   40.5,5   2   0,250,77,20.7,20.5,0.41,0.47,-1,10
Ferkul,F1,2/19/2014,50,227,Nomex natural (nomex III),2,82,9.5,250,208,22.2,22.2,0.46,0.45,0,2
Ferkul,F2,7/28/2014,209,228m,Nomex natural (nomex III),2,92,15,250,72,21,21,0.37,0.39,105,82
Ferkul,F3,8/1/2014,213,229m,Nomex natural (nomex III),1,61,8,50,46,21.7,none,0.36,none,2,none
Ferkul,F4,6/24/2014,175,39M,Japan Wax candle,2,see notes,3 ign,250,270,17.4,17.4,0.38,0.48,22,56
Miller,M1,2/20/2014,51,222,1 mm thick PMMA   1 sided   2 cm,2,58   54,10  8,50,304,22.2,21.9,0.45,0.61,0,60
Miller,M2,2/20/2014,51,224,3 mm thick PMMA 1 sided    2 cm wide,0,116 (pot 9.3)    89   80   84,20  15  13   14,50,262,22.2,21.2,0.46,1.33,12,325
Miller,M3,7/11/2014,192,226m,2 cm wide   5 mm thick 1 sided PMMA,2,3.0  3.1  3.2  6.4  5.5  5.4,10   20  18,250>50>250,223,20.8,19.7,0.33,1.18,11,300
Miller,M4,7/31/2014,212,171m,5 mm thick PMMA   2 cm wide,1,52   47   43,5   4   3,250>50,262,21.8,19.8,0.42,2.15,2,561
Miller,M5,2/20/2014,51,167,3 mm thick PMMA   2 sided   2 cm thick,0,,20  13  10  8  5,50,300+   +102,22.2,19,0.44,3.22,9,>500
Miller,M6,7/31/2014,212,163m,1 mm thick PMMA   2 cm wide,1,68   52   47   43   42   41,10   5   3   0,250,269,21.8,20.7,0.38,1.27,1,345
Miller,M7,7/11/2014,192,177m,1 cm wide PMMA 1 mm thick,2,2.6   1.3   0.8  0.7  0.6  0.5; 60   49  45  44  43  42,10   6  5  4.5  4  3,250,217,18.9,18.4,1.42,1.84,398,612
Miller,M8,7/11/2014,192,178m,1 cm wide PMMA 2 mm thick,2,3.3   1.6  1.0   decr,10   5>7  5 decr,50>250,292,19.1,18.2,0.44,1.28,52,467
Miller,M9,7/11/2014,192,179m,1 cm wide PMMA 3 mm thick,2,3.3   4.8;66  79,10   14,50   250,156,18,17.6,0.26,0.54,0,191
Miller,M10,7/23/2014,204,180m,4 mm thick   1 cm wide PMMA slab,2,75   105   94/91   72/69   63/61  (4.4   8.0   6.6/6.3   4.0/3.7   3/0/2.7),10  17  14  10  8,250  50  250,209,20.1,18.6,0.36,1.59,-1,536
Miller,M11,7/11/2014,192,181m,1 cm wide PMMA 5 mm thick,2,3.9  6.5  4.6  3.3  2.9  2.8; 62.5  93  77  66  63  62,10   20   15  12,250,247,20,18.5,0.58,1.68,46,577
Miller,M12,7/31/2014,212,165m,2 mm thick PMMA   2 cm wide,1,41   42   41,<1,250>50,271,21.7,20.4,0.42,1.42,15,443
Miller,M13,7/31/2014,212,169m,4 mm thick PMMA   2 cm wide,1,52   47   43,6   5   4,250>50,258,20.8,19,0.36,1.75,0,487
Miller,M14,2/20/2014,51,223,2mm thick PMMA   1 sided   2 cm wide,2,pot 2.4   1.87  (54),10   ~8,50,259,22.2,21.6,0.45,0.98,0,198
Miller,M15,7/7/2014,188,225m,2 cm   4 mm 1 sided PMMA slab,2,ignited 10   adjusted down then up to 20   down in incrments to 15,10   8  7  8  10  20  18  16  15,10   250,153,21,20,0.37,1.1,1,220
Miller,M16,7/23/2014,204,164m,1 mm thick PMMA   2 cm wide,2,73  57  59  48  45  43  75 (4.2  2.2  2.4  1.2  0.8  0.5  4.4),10  6  3  2  1  10,250  50  250,299,19.2,18.7,0.95,1.75,118,421
Miller,M17,7/15/2014,196,166m,2 cm wide PMMA 2 mm thick,2,Fan pot 3.7   1.7   1.5   1.3   0.8   0.6   0.5   0.3ext,10   5   3   0ext,250>50>250,309,18.8,17.1,0.35,1.7,4,485
